K,Rem,frictionFactor
0.6,2806.8954093084476,5.293409841024261
0.6,2325.5393100762208,6.190145913468215
0.6,1998.2744502567828,7.183610883403641
0.6,1836.129467619877,6.785381211636058
0.6,1750.3959126977804,6.312623148831834
0.6,1671.2703022706003,6.822789779406753
0.6,1549.1915237694059,7.486330189473358
0.6,1474.718499775201,7.979150394216085
0.6,1444.2135079555526,8.354862639017046
0.6,2805.3010441952224,4.433995149089399
0.6,2805.3010441952224,5.296495803830108
0.6,2323.13360092805,6.195603409814028
0.6,1995.1590030022326,7.192133878036117
0.6,1832.2905110678198,6.795592874271568
0.6,1745.7704347672932,6.322995602308161
0.6,1666.2010237147379,6.836319721475733
0.6,1543.544175954759,7.503743744559814
0.6,1468.4390210981635,8.000472435831174
0.6,1437.1780640140769,8.37956269555805
0.6,2803.644820794209,4.435466297295514
0.6,2803.644820794209,5.299699864338964
0.6,2320.6410879184104,6.201272378648514
0.6,1991.9331049920563,7.201017180032591
0.6,1828.3063116597075,6.806245162561683
0.6,1740.9713502327966,6.333803532086972
0.6,1660.9515297834862,6.8504179253504764
0.6,1537.703275386065,7.52188024747015
0.6,1461.955443631058,8.022689201050627
0.6,1429.9199486282232,8.405341580271454
0.6,2801.917890337325,4.437002103536594
0.6,2801.917890337325,5.30305110585978
0.6,2318.039795626722,6.207187660370152
0.6,1988.5781465371385,7.210263386383207
0.6,1824.1777095176296,6.816460027583852
0.6,1736.2245698366157,6.345071889242567
0.6,1655.5135090467923,6.865136031936275
0.6,1531.652526098679,7.54084884400296
0.6,1455.2353754354751,8.04594772919405
0.6,1422.3996286250128,8.432329940935164
0.6,2800.1382488290906,4.438586769121209
0.6,2800.1382488290906,5.306502248352762
0.6,2315.367046554188,6.2132943488886045
0.6,1985.1264634739227,7.219822617025927
0.6,1819.9288942015114,6.826633754145387
0.6,1731.44091542604,6.356743199677041
0.6,1649.918440728023,6.880391396460716
0.6,1525.4309585480394,7.560511840284373
0.6,1448.3342037994685,8.070064296499769
0.6,1414.8331803628164,8.460338083022132
0.6,2798.2970497302567,4.440228369496675
0.6,2798.2970497302567,5.310082410860092
0.6,2312.6008831195013,6.219627381815229
0.6,1981.559478014196,7.229736822054305
0.6,1815.5431606537345,6.837182261632388
0.6,1726.508795263668,6.3688529096870115
0.6,1644.1530462341389,6.896236110467287
0.6,1519.022323496588,7.580954586808632
0.6,1441.2284206538116,8.095160898222055
0.6,1407.0907472014167,8.489498210878498
0.6,2796.40333020702,4.44191905180806
0.6,2796.40333020702,5.313772921878437
0.6,2309.756370086788,6.226176803368927
0.6,1977.8840730963939,7.239786463223311
0.6,1811.0770125292406,6.84810888666358
0.6,1721.429420952139,6.381416236160664
0.6,1638.2141174304404,6.912677857988817
0.6,1512.4288916729283,7.602163703855268
0.6,1434.0652915089477,8.121227386152048
0.6,1399.1383058040271,8.519817963469762
0.6,2794.439335475629,4.443674895288712
0.6,2794.439335475629,5.317593443993458
0.6,2306.8190114539293,6.232943940685139
0.6,1974.1007847286953,7.24919703179436
0.6,1806.7269241570486,6.859428283075936
0.6,1716.1988840773492,6.394427790984118
0.6,1632.1083618135206,6.92972466752396
0.6,1505.652985445389,7.624189186110662
0.6,1426.750064329968,8.148308312808016
0.6,1390.9710256245562,8.551334482073658
0.6,2792.43195271048,4.445472080697524
0.6,2792.43195271048,5.3215349067431985
0.6,2303.7964884052294,6.2399415233856645
0.6,1970.2038527382247,7.2589266019298595
0.6,1802.2512929155687,6.8711329564784585
0.6,1710.8236383856479,6.4078927600195765
0.6,1625.8375744744549,6.947384922279655
0.6,1498.7377623279751,7.647031456451761
0.6,1419.2419792954872,8.176422326713006
0.6,1382.5924475299394,8.584071970619167
0.6,2790.354525428768,4.447334698818883
0.6,2790.354525428768,5.325597835974993
0.6,2300.68909767928,6.247159674779546
0.6,1966.2001743610692,7.268977645776565
0.6,1797.651008559233,6.8832266631877035
0.6,1705.3049877819265,6.421816542559998
0.6,1619.4035893358655,6.965655805967045
0.6,1491.7870243531502,7.670678399876977
0.6,1411.552198327052,8.205575139406452
0.6,1374.01022423867,8.618055845258294
0.6,2788.2250057908495,4.449246903705225
0.6,2788.2250057908495,5.329782774955581
0.6,2297.4971438141806,6.254611279578192
0.6,1962.0840408714507,7.279352727471127
0.6,1792.9269824162766,6.895713304210565
0.6,1699.6442650373112,6.436204756973738
0.6,1612.8082778688497,6.984569511305485
0.6,1484.6593287491412,7.695182450348457
0.6,1403.6711180515717,8.235786934308194
0.6,1365.2279525819083,8.65329803675144
0.6,2786.0256972977822,4.4512248440694675
0.6,2786.0256972977822,5.334119282410185
0.6,2294.198915553912,6.262175280086122
0.6,1957.8890303205244,7.290090150820396
0.6,1788.06404666398,6.908653641167707
0.6,1693.8173811262473,6.451127302282632
0.6,1606.0245503158042,7.004182514211843
0.6,1477.3396814279552,7.720610670973446
0.6,1395.5853125363567,8.267177183177443
0.6,1356.2212529544463,8.689930301071769
0.6,2783.77453509706,4.45325265560783
0.6,2783.77453509706,5.33855967157565
0.6,2290.831476013393,6.269176696147479
0.6,1953.8424586519475,7.301109567005029
0.6,1783.100749016247,6.921950053694457
0.6,1687.8716311610149,6.466473173542421
