K,Rem,cdrag
1.2,2338.848811892603,1.6292269519743157
1.2,2447.965101906899,1.6473387753052067
1.2,2447.965101906899,1.6974472779130618
1.2,2337.4984362568202,1.629915969697759
1.2,2446.9656301043,1.6476850549286302
1.2,2446.9656301043,1.69800310937522
1.2,2336.0741967909694,1.6306460058260108
1.2,2445.9040842586587,1.648052560191961
1.2,2445.9040842586587,1.6985907737541885
1.2,2334.568762052382,1.6314225356361391
1.2,2444.7727347260475,1.6484449023904166
1.2,2444.7727347260475,1.699213887589536
1.2,2332.974824391825,1.6322430085643331
1.2,2443.587261806795,1.6488562169729832
1.2,2443.587261806795,1.6998725318809689
1.2,2331.2925436386536,1.6331104895425146
1.2,2442.339940922427,1.649289487926767
1.2,2442.339940922427,1.7005637429524767
1.2,2329.529524745858,1.6340251295830595
1.2,2441.0308555677516,1.6497447527515472
1.2,2441.0308555677516,1.701293707366355
1.2,2327.6710668636024,1.6349841501461497
1.2,2439.660093311586,1.6502220508825687
1.2,2439.660093311586,1.7020533637848556
1.2,2325.7396487969822,1.635987708311112
1.2,2438.2355282856693,1.650718465307103
1.2,2438.2355282856693,1.70284891023774
1.2,2323.7205906439744,1.6370389142159458
1.2,2436.741686974141,1.651239954188238
1.2,2436.741686974141,1.7036804507945003
1.2,2321.614093852714,1.6381320532421197
1.2,2435.194229583893,1.6517806439269263
1.2,2435.194229583893,1.7045480943911415
1.2,2319.420368349827,1.6392761542865626
1.2,2433.593246326595,1.6523405754598777
1.2,2433.593246326595,1.7054458202160698
1.2,2317.1544361358983,1.6404655153240006
1.2,2431.923300702961,1.6529257245319922
1.2,2431.923300702961,1.706379867908823
1.2,2314.8016939404115,1.6417003331417555
1.2,2430.1922779037936,1.653533179771643
1.2,2430.1922779037936,1.7073565090781406
1.2,2312.347598470606,1.6429867466602308
1.2,2428.4080480832963,1.6541600228753681
1.2,2428.4080480832963,1.7083605037169403
1.2,2309.829340897276,1.644316081995765
1.2,2426.5629649706198,1.6548092752614527
1.2,2426.5629649706198,1.7094011967297977
1.2,2307.2249848527536,1.6456945000159269
1.2,2424.649406522554,1.6554833368879867
1.2,2424.649406522554,1.7104782195364017
