,genotype,fitness,mapping_values,tree_depth,original_phenotype,phenotype,opt_const,fitness val,other_info,optimized
34,"[[0], [0], [3, 0], [0, 2, 1], [2, 0, 0], [0, 0, 0, 1], [0, 0, 0]]",61.28135059416203,"[1, 1, 2, 2, 3, 4, 3]",6,x[0]*x[0]+x[0]+Constant * (x[1]**Constant) * (x[2]),x[0]*x[0]+x[0]+0.5357215864862293 * (x[1]**-1.383234801998016) * (x[2]),[ 0.53572159 -1.3832348 ],58.50741593235333,"{'fitness 25': 63.70890683524376, 'fitness 53': 61.112896218643364, 'fitness 74': 59.02224872859895, 'fitness 102': 58.50741593235333}",True
35,"[[0], [0], [3, 2], [2], [3, 2], [1, 1, 0, 0], [0, 0, 0, 0]]",63.144951465855684,"[1, 1, 2, 1, 1, 2, 0]",5,Constant/(Constant**Constant) * (x[1]**Constant) * (x[2]),0.3896281409207749/(0.8755181756133521**0.16280302814747977) * (x[1]**-2.3517607270476075) * (x[2]),[ 0.38962814  0.87551818  0.16280303 -2.35176073],60.373606146251404,"{'fitness 25': 65.53845432864789, 'fitness 53': 62.96497582139406, 'fitness 74': 60.931424247525115, 'fitness 102': 60.373606146251404}",True
36,"[[0], [1], [3, 2], [1], [3, 2, 3, 2], [1, 1, 0, 0], [0, 0]]",63.14495146717843,"[1, 1, 2, 1, 2, 3, 1]",6,(Constant/((Constant*x[0])**Constant)) * (x[1]**Constant) * (x[2]),(0.37617657461370335/((0.8797578989352771*x[0])**0.11871970066444526)) * (x[1]**-2.441454643895403) * (x[2]),[ 0.37617657  0.8797579   0.1187197  -2.44145464],60.373606148008946,"{'fitness 25': 65.53845432964434, 'fitness 53': 62.96497582272915, 'fitness 74': 60.931424249161786, 'fitness 102': 60.373606148008946}",True
37,"[[0], [1], [3, 2], [0], [2, 2, 3, 2], [1, 1, 0], [0]]",63.14495146756735,"[1, 1, 2, 1, 2, 3, 1]",6,(Constant*(Constant*x[0]**Constant)) * (x[1]**Constant) * (x[2]),(0.39873691239138753*(0.2390293303773791*x[0]**0.26540415235659426)) * (x[1]**-2.2932595276850805) * (x[2]),[ 0.39873691  0.23902933  0.26540415 -2.29325953],60.373606148618066,"{'fitness 25': 65.53845432987517, 'fitness 53': 62.964975823121094, 'fitness 74': 60.9314242497058, 'fitness 102': 60.373606148618066}",True
38,"[[0], [0], [3, 2], [0, 2, 1], [2, 2, 3, 2], [1, 1, 0], [0]]",63.14495146756735,"[1, 1, 2, 1, 2, 3, 1]",6,Constant*(Constant*x[0]**Constant) * (x[1]**Constant) * (x[2]),0.39873691239138753*(0.2390293303773791*x[0]**0.26540415235659426) * (x[1]**-2.2932595276850805) * (x[2]),[ 0.39873691  0.23902933  0.26540415 -2.29325953],60.373606148618066,"{'fitness 25': 65.53845432987517, 'fitness 53': 62.964975823121094, 'fitness 74': 60.9314242497058, 'fitness 102': 60.373606148618066}",True
39,"[[0], [0], [3, 2], [0, 2, 1], [2, 3, 3, 2], [1, 1, 0, 0], [0]]",63.144951467873064,"[1, 1, 2, 1, 2, 3, 1]",6,Constant*(Constant/x[0]**Constant) * (x[1]**Constant) * (x[2]),0.3894739827206034*(0.22850370158123523/x[0]**0.23776954923765134) * (x[1]**-2.3485293176993496) * (x[2]),[ 0.38947398  0.2285037   0.23776955 -2.34852932],60.37360614898695,"{'fitness 25': 65.53845433012921, 'fitness 53': 62.964975823424936, 'fitness 74': 60.93142425006506, 'fitness 102': 60.37360614898695}",True
40,"[[0], [0], [3, 0], [1, 0], [2, 2, 3, 2], [1, 0, 1, 1, 0], [0, 0, 0, 0]]",63.1449514685116,"[1, 1, 2, 2, 4, 5, 2]",6,Constant*(x[0]*Constant)/Constant*x[0] * (x[1]**Constant) * (x[2]),-1.0594412358731338*(x[0]*-1.4179237610273796)/5.982948294176607*x[0] * (x[1]**-12.70504152949693) * (x[2]),[ -1.05944124  -1.41792376   5.98294829 -12.70504153],60.3736061498706,"{'fitness 25': 65.53845433058747, 'fitness 53': 62.96497582407102, 'fitness 74': 60.9314242508763, 'fitness 102': 60.3736061498706}",True
41,"[[0], [2], [1], [1, 1], [1, 2, 1], [0, 1, 0, 0], [0, 0, 0]]",63.1449514685116,"[1, 1, 1, 2, 3, 4, 3]",6,(((x[0]-Constant)*(x[0]-x[0]))**Constant) * (x[1]**Constant) * (x[2]),(((x[0]-0.8352626953910192)*(x[0]-x[0]))**0.7350611351168952) * (x[1]**0.27737353418647237) * (x[2]),[0.8352627  0.73506114 0.27737353],60.3736061498706,"{'fitness 25': 65.53845433058747, 'fitness 53': 62.96497582407102, 'fitness 74': 60.9314242508763, 'fitness 102': 60.3736061498706}",False
42,"[[0], [0], [3, 2], [1], [2, 1], [1, 0, 0, 0], [0, 0]]",63.1449514685116,"[1, 1, 2, 1, 2, 3, 2]",6,Constant*((x[0]-x[0])**Constant) * (x[1]**Constant) * (x[2]),0.8352626953910192*((x[0]-x[0])**0.7350611351168952) * (x[1]**0.27737353418647237) * (x[2]),[0.8352627  0.73506114 0.27737353],60.3736061498706,"{'fitness 25': 65.53845433058747, 'fitness 53': 62.96497582407102, 'fitness 74': 60.9314242508763, 'fitness 102': 60.3736061498706}",True
43,"[[0], [1], [0, 3], [0, 2], [1, 3, 3], [0, 1, 0, 1], [0, 0]]",65.6238113928877,"[1, 1, 2, 2, 3, 4, 2]",6,(x[0]-Constant/x[0]/Constant) * (x[1]**Constant) * (x[2]),(x[0]-0.8352626953910192/x[0]/0.7350611351168952) * (x[1]**0.27737353418647237) * (x[2]),[0.8352627  0.73506114 0.27737353],62.612174390343384,"{'fitness 25': 68.4906899588422, 'fitness 53': 65.49781248324318, 'fitness 74': 62.88293173657774, 'fitness 102': 62.612174390343384}",False
44,"[[0], [0], [1, 1], [2, 0, 1, 2], [3, 1, 3, 0, 0], [1, 0, 1, 0, 1, 0], [0, 0, 0]]",181.03611388811342,"[1, 1, 2, 4, 5, 6, 3]",6,(Constant/x[0]-Constant)/((x[0]+Constant)+x[0]) * (x[1]**Constant) * (x[2]),(0.8352626953910192/x[0]-0.7350611351168952)/((x[0]+0.27737353418647237)+x[0]) * (x[1]**0.8164746580847393) * (x[2]),[0.8352627  0.73506114 0.27737353 0.81647466],152.0282321760037,"{'fitness 25': 227.15824633276443, 'fitness 53': 175.9840656328229, 'fitness 74': 139.96602969875292, 'fitness 102': 152.0282321760037}",False
45,"[[0], [3], [], [], [], [1], []]",186.42779360241255,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.8352626953910192 * (x[1]**0.7350611351168952) * (x[2]),[0.8352627  0.73506114],172.6840779532546,"{'fitness 25': 195.39694963435562, 'fitness 53': 184.28397712919315, 'fitness 74': 179.6024540436889, 'fitness 102': 172.6840779532546}",False
46,"[[0], [2], [2], [1], [2], [1, 0], [0]]",510.0445924530547,"[1, 1, 1, 1, 1, 2, 1]",6,(((Constant*x[0])**Constant)**Constant) * (x[1]**Constant) * (x[2]),(((0.8352626953910192*x[0])**0.7350611351168952)**0.27737353418647237) * (x[1]**0.8164746580847393) * (x[2]),[0.8352627  0.73506114 0.27737353 0.81647466],474.46427333685926,"{'fitness 25': 531.2209596097567, 'fitness 53': 504.70532563140824, 'fitness 74': 494.2074921179991, 'fitness 102': 474.46427333685926}",False
47,"[[0], [2], [2], [2], [], [1], []]",510.9905847932211,"[1, 1, 1, 1, 0, 1, 0]",5,((Constant**Constant)**Constant) * (x[1]**Constant) * (x[2]),((0.8352626953910192**0.7350611351168952)**0.27737353418647237) * (x[1]**0.8164746580847393) * (x[2]),[0.8352627  0.73506114 0.27737353 0.81647466],472.22896565276494,"{'fitness 25': 536.972829420448, 'fitness 53': 505.27599421887726, 'fitness 74': 490.72293074033814, 'fitness 102': 472.22896565276494}",False
48,"[[0], [3], [], [], [], [0], [0]]",678.0270189897875,"[1, 1, 0, 0, 0, 1, 1]",4,x[0] * (x[1]**Constant) * (x[2]),x[0] * (x[1]**0.8352626953910192) * (x[2]),[0.8352627],640.8579329630005,"{'fitness 25': 692.2888245992914, 'fitness 53': 671.7685763765816, 'fitness 74': 670.0236559934898, 'fitness 102': 640.8579329630005}",False
49,"[[0], [1], [1, 1], [0, 0, 0, 2], [3, 2, 0, 3, 2, 2], [0, 1, 0, 0, 1, 0, 1], [0, 0, 0, 0]]",6480.527091288459,"[1, 1, 2, 4, 6, 7, 4]",6,((x[0]/Constant*x[0]+x[0])/(Constant*x[0]*Constant)) * (x[1]**Constant) * (x[2]),((x[0]/0.8352626953910192*x[0]+x[0])/(0.7350611351168952*x[0]*0.27737353418647237)) * (x[1]**0.8164746580847393) * (x[2]),[0.8352627  0.73506114 0.27737353 0.81647466],6086.282810412799,"{'fitness 25': 6688.358845576066, 'fitness 53': 6419.627622020956, 'fitness 74': 6333.594806268355, 'fitness 102': 6086.282810412799}",False
