,genotype,fitness,tree_depth,original_phenotype,mapping_values,phenotype,opt_const,fitness val,other_info,optimized
68,"[[0], [2], [1], [1, 3], [2, 1, 0], [3, 0, 2, 2, 3], [0, 0, 0, 1, 0, 0, 0, 1, 1], [1, 1, 1, 0]]",1.012061697435854,7,(((x[1]/(x[1]+x[1]))*Constant)**Constant),"[1, 1, 1, 2, 2, 3, 4, 3]",(((x[1]/(x[1]+x[1]))*0.4927749392869639)**0.05874594936824684),[0.49277494 0.05874595],1.04656083711057,"{'fitness 25': 0.9478784390244551, 'fitness 53': 1.0386235623492062, 'fitness 74': 1.0496830909339006, 'fitness 102': 1.04656083711057}",False
69,"[[0], [2], [2], [0], [0, 1], [2, 3, 2], [1, 1, 1, 1, 0, 0, 1], [0, 0]]",1.018063624215556,6,((Constant*Constant/(Constant*Constant)**Constant)**Constant),"[1, 1, 1, 1, 2, 3, 4, 0]",((0.4927749392869639*0.05874594936824684/(0.9322610422793729*0.1576841747424489)**0.8554984724979569)**0.04686451672818437),[0.49277494 0.05874595 0.93226104 0.15768417 0.85549847 0.04686452],1.05255587146538,"{'fitness 25': 0.953928787192314, 'fitness 53': 1.0445853113365655, 'fitness 74': 1.055676774117789, 'fitness 102': 1.05255587146538}",False
70,"[[0], [2], [1], [3, 1], [1, 0, 0, 1], [3, 2, 2, 0, 2], [1, 1, 1, 0, 0], [0, 0, 1]]",1.0185191991833176,7,((Constant/((Constant*Constant)*x[0]+x[0]))**Constant),"[1, 1, 1, 2, 2, 4, 5, 2]",((0.4927749392869639/((0.05874594936824684*0.9322610422793729)*x[0]+x[0]))**0.1576841747424489),[0.49277494 0.05874595 0.93226104 0.15768417],1.0512655054416729,"{'fitness 25': 0.9552774035261131, 'fitness 53': 1.0428894428162425, 'fitness 74': 1.0573907512075973, 'fitness 102': 1.0512655054416729}",False
71,"[[0], [2], [2], [0], [0, 2], [3, 1], [1, 0, 1], [0]]",1.0302711636715312,7,((Constant/x[0]-Constant**Constant)**Constant),"[1, 1, 1, 1, 2, 2, 3, 1]",((0.4927749392869639/x[0]-0.05874594936824684**0.9322610422793729)**0.1576841747424489),[0.49277494 0.05874595 0.93226104 0.15768417],1.0628126290740318,"{'fitness 25': 0.9672296072970428, 'fitness 53': 1.0543411486572056, 'fitness 74': 1.069242735060345, 'fitness 102': 1.0628126290740318}",False
72,"[[0], [1], [2, 1], [3, 3, 1], [2, 1], [0, 1, 1, 3], [1, 0, 1, 1, 0], [0, 1]]",1.0666835113902189,7,((Constant**Constant)+(x[0]-(Constant-(Constant/x[1])))),"[1, 1, 2, 3, 2, 4, 5, 2]",((0.4927749392869639**0.05874594936824684)+(x[0]-(0.9322610422793729-(0.1576841747424489/x[1])))),[0.49277494 0.05874595 0.93226104 0.15768417],1.1080579073896417,"{'fitness 25': 1.0012331655585236, 'fitness 53': 1.1027835115829738, 'fitness 74': 1.0960338570291595, 'fitness 102': 1.1080579073896417}",False
73,"[[0], [0], [2, 2], [3, 3], [], [1], [0, 1], [0]]",1.0857950804095795,6,(x[0]**Constant)-(Constant**Constant),"[1, 1, 2, 2, 0, 1, 2, 1]",(x[0]**0.4927749392869639)-(0.05874594936824684**0.9322610422793729),[0.49277494 0.05874595 0.93226104],1.1247423487047932,"{'fitness 25': 1.0205583738946424, 'fitness 53': 1.1177197970646067, 'fitness 74': 1.1191070702694894, 'fitness 102': 1.1247423487047932}",False
74,"[[0], [0], [2, 0], [2, 0, 3], [1, 0, 2], [1, 0, 1, 3, 1], [1, 1, 1, 1, 1, 1], [1]]",1.1085872845693787,6,(((Constant-Constant)**Constant)**Constant)+Constant-Constant/Constant-Constant,"[1, 1, 2, 3, 3, 5, 6, 0]",(((0.4927749392869639-0.05874594936824684)**0.9322610422793729)**0.1576841747424489)+0.8554984724979569-0.04686451672818437/0.17878489558131672-0.6575055093689879,"[0.49277494 0.05874595 0.93226104 0.15768417 0.85549847 0.04686452
 0.1787849  0.65750551]",1.142974886255395,"{'fitness 25': 1.0451363545099526, 'fitness 53': 1.1345492998430857, 'fitness 74': 1.1460761993550979, 'fitness 102': 1.142974886255395}",False
75,"[[0], [2], [2], [2, 3, 2], [0, 2], [3, 0, 3, 3, 3], [0, 0, 1, 0], [0, 1, 0]]",1.1285382444203462,7,(((x[0]/x[1]**Constant)**Constant)**Constant),"[1, 1, 1, 1, 1, 1, 2, 2]",(((x[0]/x[1]**0.4927749392869639)**0.05874594936824684)**0.9322610422793729),[0.49277494 0.05874595 0.93226104],1.160660561206315,"{'fitness 25': 1.0673089900200832, 'fitness 53': 1.154545398969314, 'fitness 74': 1.163760344271642, 'fitness 102': 1.160660561206315}",False
76,"[[0], [2], [2, 2], [1, 2], [0, 1], [2, 1, 2], [1, 0, 1, 0, 0, 0], [1, 0]]",1.136529700046855,7,(((Constant*x[1]-(Constant*x[0]))**Constant)**Constant),"[1, 1, 1, 1, 2, 3, 4, 2]",(((0.4927749392869639*x[1]-(0.05874594936824684*x[0]))**0.9322610422793729)**0.1576841747424489),[0.49277494 0.05874595 0.93226104 0.15768417],1.0782281049279092,"{'fitness 25': 1.1938145097687873, 'fitness 53': 1.1228870015001475, 'fitness 74': 1.0928875888716303, 'fitness 102': 1.0782281049279092}",False
77,"[[0], [2], [1, 2], [2, 1, 0], [0, 2, 1, 0, 2, 0], [3, 3, 0, 0, 0, 0], [1, 1, 1, 0, 1, 1, 1], [1, 1, 0, 0]]",1.1713053765550763,7,(((Constant/Constant**Constant)/(Constant+(x[1]+Constant)))**Constant),"[1, 1, 1, 2, 3, 4, 5, 1]",(((0.4927749392869639/0.05874594936824684**0.9322610422793729)/(0.1576841747424489+(x[1]+0.8554984724979569)))**0.04686451672818437),[0.49277494 0.05874595 0.93226104 0.15768417 0.85549847 0.04686452],1.2010702933087076,"{'fitness 25': 1.112071456305702, 'fitness 53': 1.196194607045201, 'fitness 74': 1.2056500663143257, 'fitness 102': 1.2010702933087076}",False
