,genotype,fitness,mapping_values,tree_depth,original_phenotype,phenotype,opt_const,fitness val,other_info,optimized
47,"[[0], [0], [0, 2], [2, 2, 2], [0, 0, 0, 1], [0, 0, 1, 2, 0, 2, 3], [0, 0, 1, 1, 0, 0, 0, 0, 0], [0, 0, 0, 1, 1]]",0.6856401541924498,"[1, 1, 2, 3, 3, 5, 6, 4]",7,(x[0]+x[0]**Constant)+(Constant-Constant**Constant)*((x[0]+x[1]**Constant)**Constant),(x[0]+x[0]**0.28305880458154997)+(0.7625066428487729-0.8476292846322512**0.8537280917215861)*((x[0]+x[1]**0.3164919138564275)**0.13735171020599313),[0.2830588  0.76250664 0.84762928 0.85372809 0.31649191 0.13735171],0.7067784923539812,"{'fitness 25': 0.6389219755852904, 'fitness 53': 0.7205419063270061, 'fitness 74': 0.6974565806650533, 'fitness 102': 0.7067784923539812}",False
48,"[[0], [0], [0, 1], [2, 2, 0, 1], [0, 1, 1, 1, 2, 2], [3, 0, 3, 3, 3, 1, 1, 2, 2], [0, 0, 1, 1, 0, 1, 0, 0, 0, 1], [0, 0, 0, 1, 1, 0]]",0.6958575970521457,"[1, 1, 2, 4, 6, 9, 10, 6]",7,(x[0]/x[0]**Constant)+((Constant/Constant)**Constant)/((x[0]/Constant)-(x[1]-x[1])*(x[0]*Constant)),(x[0]/x[0]**0.28305880458154997)+((0.7625066428487729/0.8476292846322512)**0.8537280917215861)/((x[0]/0.3164919138564275)-(x[1]-x[1])*(x[0]*0.13735171020599313)),[0.2830588  0.76250664 0.84762928 0.85372809 0.31649191 0.13735171],0.7305243457159754,"{'fitness 25': 0.6279777604873417, 'fitness 53': 0.7273426810940742, 'fitness 74': 0.732252349575021, 'fitness 102': 0.7305243457159754}",False
49,"[[0], [2], [1], [2, 2], [0, 0], [2, 2, 1], [1, 1, 0, 1], [1]]",0.7016119089976153,"[1, 1, 1, 2, 2, 3, 4, 1]",7,(((Constant*Constant**Constant)*(x[1]-Constant**Constant))**Constant),(((0.28305880458154997*0.7625066428487729**0.8476292846322512)*(x[1]-0.8537280917215861**0.3164919138564275))**0.13735171020599313),[0.2830588  0.76250664 0.84762928 0.85372809 0.31649191 0.13735171],0.6650700567956954,"{'fitness 25': 0.733491294653154, 'fitness 53': 0.6965727129655205, 'fitness 74': 0.6747717193741716, 'fitness 102': 0.6650700567956954}",False
50,"[[0], [1], [2, 2], [2, 3, 2], [1, 0, 2, 2, 2], [2, 0, 0, 2, 3, 3, 2], [1, 1, 0, 1, 0, 1, 0, 1, 0], [0, 0, 0, 0, 1, 0]]",0.7037762671164458,"[1, 1, 2, 2, 1, 2, 3, 1]",6,((((Constant*Constant)**Constant)**Constant)+(x[0]**Constant)),((((0.28305880458154997*0.7625066428487729)**0.8476292846322512)**0.8537280917215861)+(x[0]**0.3164919138564275)),[0.2830588  0.76250664 0.84762928 0.85372809 0.31649191],0.7406117461321687,"{'fitness 25': 0.6356835713525416, 'fitness 53': 0.7376998863791331, 'fitness 74': 0.7379453436176628, 'fitness 102': 0.7406117461321687}",False
51,"[[0], [0], [2, 2], [3, 3], [], [0], [1, 1], []]",0.7040427492976465,"[1, 1, 2, 2, 0, 1, 2, 0]",5,(Constant**Constant)+(Constant**Constant),(0.28305880458154997**0.7625066428487729)+(0.8476292846322512**0.8537280917215861),[0.2830588  0.76250664 0.84762928 0.85372809],0.7387653846161523,"{'fitness 25': 0.6367764534546803, 'fitness 53': 0.7333913132871088, 'fitness 74': 0.7419604811511508, 'fitness 102': 0.7387653846161523}",False
52,"[[0], [2], [0, 0], [3, 2, 3, 2], [1, 2, 2, 1, 2], [0, 3, 1, 2], [0, 1, 1, 1, 1, 0], [0, 1, 0]]",0.726921151151705,"[1, 1, 1, 2, 1, 2, 3, 1]",6,(x[0]+((Constant/Constant)**Constant)**Constant),(x[0]+((0.28305880458154997/0.7625066428487729)**0.8476292846322512)**0.8537280917215861),[0.2830588  0.76250664 0.84762928 0.85372809],0.7626438303546436,"{'fitness 25': 0.6629447884198042, 'fitness 53': 0.7654541191655853, 'fitness 74': 0.7523645458697257, 'fitness 102': 0.7626438303546436}",False
53,"[[0], [1], [1, 2], [3, 2, 2], [2, 2, 2, 0], [2, 0, 2, 3, 2], [1, 1, 1, 1, 0, 1], [0, 0]]",0.7334118601047644,"[1, 1, 2, 3, 2, 2, 3, 0]",6,((Constant*(Constant**Constant))+((Constant**Constant)**Constant)),((0.28305880458154997*(0.7625066428487729**0.8476292846322512))+((0.8537280917215861**0.3164919138564275)**0.13735171020599313)),[0.2830588  0.76250664 0.84762928 0.85372809 0.31649191 0.13735171],0.7681396162106858,"{'fitness 25': 0.6664898808051506, 'fitness 53': 0.7624174280635865, 'fitness 74': 0.7713282714455564, 'fitness 102': 0.7681396162106858}",False
54,"[[0], [0], [2, 1], [2, 2, 0, 3], [2, 0, 2, 0], [2, 0, 3, 0, 2], [1, 1, 1, 0, 1, 0, 1, 1], [0, 0, 1, 0, 1, 0]]",0.7430799110492421,"[1, 1, 2, 3, 4, 5, 6, 2]",7,((Constant**Constant)**Constant)*((Constant+Constant**Constant)/x[0]+Constant*x[0]),((0.28305880458154997**0.7625066428487729)**0.8476292846322512)*((0.8537280917215861+0.3164919138564275**0.13735171020599313)/x[0]+0.6350634911922938*x[0]),"[0.2830588  0.76250664 0.84762928 0.85372809 0.31649191 0.13735171
 0.63506349]",0.7666891341773533,"{'fitness 25': 0.685353387588333, 'fitness 53': 0.7592739314218133, 'fitness 74': 0.78461241413758, 'fitness 102': 0.7666891341773533}",False
55,"[[0], [1], [2, 0], [1, 3, 3], [1, 2, 2], [2, 3, 3, 0], [0, 1, 0, 1, 0, 1, 0, 1, 0], [0, 0, 0]]",0.7497136280817255,"[1, 1, 2, 3, 2, 4, 5, 3]",7,((((x[0]*Constant)/x[0])**Constant)/Constant+x[0]),((((x[0]*0.28305880458154997)/x[0])**0.7625066428487729)/0.8476292846322512+x[0]),[0.2830588  0.76250664 0.84762928],0.7863236150615317,"{'fitness 25': 0.6851305041443735, 'fitness 53': 0.7882255798081006, 'fitness 74': 0.7757848002927022, 'fitness 102': 0.7863236150615317}",False
56,"[[0], [1], [2, 3], [0], [1, 2], [0, 0, 3], [1, 1, 0, 1], [0]]",0.7559383039212494,"[1, 1, 2, 1, 2, 3, 4, 1]",7,(((Constant+Constant)+x[0]**Constant)/Constant),(((0.28305880458154997+0.7625066428487729)+x[0]**0.8476292846322512)/0.8537280917215861),[0.2830588  0.76250664 0.84762928 0.85372809],0.7424139821970991,"{'fitness 25': 0.7555680009537408, 'fitness 53': 0.7660710940139962, 'fitness 74': 0.7461758167960111, 'fitness 102': 0.7424139821970991}",False
57,"[[0], [1], [2, 0], [2, 2, 2, 3], [1, 2, 2, 1], [2, 0, 3, 2, 3], [0, 1, 0, 1, 0, 1, 0, 1, 0], [0, 0, 1]]",0.7565230704362866,"[1, 1, 2, 3, 3, 3, 4, 2]",7,((((x[0]*Constant)**Constant)**Constant)+(x[0]**Constant)/(Constant**Constant)),((((x[0]*0.28305880458154997)**0.7625066428487729)**0.8476292846322512)+(x[0]**0.8537280917215861)/(0.3164919138564275**0.13735171020599313)),[0.2830588  0.76250664 0.84762928 0.85372809 0.31649191 0.13735171],0.7895568731604719,"{'fitness 25': 0.6976259360981641, 'fitness 53': 0.7959746260160891, 'fitness 74': 0.7759686491946065, 'fitness 102': 0.7895568731604719}",False
58,"[[0], [0], [2, 2], [1, 3, 1], [2, 1, 0, 1], [2, 2, 0, 3, 3, 3, 2], [1, 1, 0, 1, 1, 0, 1], [0, 0, 0, 0, 1, 0]]",0.7652733786244449,"[1, 1, 2, 2, 2, 3, 4, 1]",7,((Constant*(Constant*x[0]))**Constant)+(Constant**Constant),((0.28305880458154997*(0.7625066428487729*x[0]))**0.8476292846322512)+(0.8537280917215861**0.3164919138564275),[0.2830588  0.76250664 0.84762928 0.85372809 0.31649191],0.8015502666580919,"{'fitness 25': 0.6978609898208606, 'fitness 53': 0.7967902000720123, 'fitness 74': 0.8011689459804616, 'fitness 102': 0.8015502666580919}",False
59,"[[0], [2], [2, 2], [1, 0, 3], [0, 0, 2], [2, 0, 3, 0], [0, 1, 1, 0, 1, 0, 1], [0, 0, 0]]",0.7893252022050793,"[1, 1, 1, 1, 2, 3, 4, 2]",7,(((x[0]*Constant+Constant/x[0])**Constant)**Constant),(((x[0]*0.28305880458154997+0.7625066428487729/x[0])**0.8476292846322512)**0.8537280917215861),[0.2830588  0.76250664 0.84762928 0.85372809],0.8166572645485556,"{'fitness 25': 0.7280318831686982, 'fitness 53': 0.8086885996370449, 'fitness 74': 0.8312551238094948, 'fitness 102': 0.8166572645485556}",False
